日期,最高气温,最低气温,天气,风向,空气质量
2012-12-21 星期五 ,-4℃,-8℃,小雪,微风~北风 小于3级~3-4级,
2012-12-22 星期六 ,-5℃,-11℃,阵雪转多云,北风 3-4级,
2012-12-23 星期日 ,-1℃,-14℃,晴,北风~微风 3-4级~小于3级,
2012-12-24 星期一 ,-1℃,-11℃,晴,微风 小于3级,
2012-12-25 星期二 ,0℃,-10℃,晴转多云,微风 小于3级,
2012-12-26 星期三 ,3℃,-8℃,晴,微风 小于3级,
2012-12-27 星期四 ,2℃,-8℃,多云,微风 小于3级,
2012-12-28 星期五 ,-6℃,-11℃,小雪,北风 3-4级,
2012-12-29 星期六 ,-7℃,-14℃,小雪转晴,北风 3-4级,
2012-12-30 星期日 ,-2℃,-15℃,晴,微风 小于3级,
2012-12-31 星期一 ,-1℃,-13℃,晴,微风 小于3级,
2013-01-01 星期二 ,-2℃,-13℃,晴,微风 小于3级,
2013-01-02 星期三 ,-4℃,-12℃,晴转多云,微风 小于3级,
2013-01-03 星期四 ,-3℃,-13℃,多云转晴,微风 小于3级,
2013-01-04 星期五 ,-1℃,-10℃,晴,微风 小于3级,
2013-01-05 星期六 ,-1℃,-10℃,晴,微风 小于3级,
2013-01-06 星期日 ,-1℃,-9℃,多云转晴,东风 小于3级,
2013-01-07 星期一 ,0℃,-10℃,多云,东风 小于3级,
2013-01-08 星期二 ,-2℃,-10℃,多云转晴,微风 小于3级,
2013-01-09 星期三 ,1℃,-11℃,晴,微风 小于3级,
2013-01-10 星期四 ,1℃,-10℃,晴转多云,微风 小于3级,
2013-01-11 星期五 ,2℃,-10℃,多云转晴,东风 小于3级,
2013-01-12 星期六 ,4℃,-10℃,晴,微风 小于3级,
2013-01-13 星期日 ,5℃,-10℃,晴,微风 小于3级,
2013-01-14 星期一 ,0℃,-8℃,多云,微风 小于3级,
2013-01-15 星期二 ,4℃,-10℃,多云转晴,微风 小于3级,
2013-01-16 星期三 ,4℃,-9℃,晴,微风 小于3级,
2013-01-17 星期四 ,7℃,-7℃,晴,东风 小于3级,
2013-01-18 星期五 ,6℃,-7℃,晴,东风 小于3级,
2013-01-19 星期六 ,2℃,-5℃,多云转阴,东风 小于3级,
2013-01-20 星期日 ,-1℃,-7℃,小雪,微风 小于3级,
2013-01-21 星期一 ,2℃,-9℃,多云,微风 小于3级,
2013-01-22 星期二 ,3℃,-9℃,多云转晴,微风 小于3级,
2013-01-23 星期三 ,3℃,-9℃,晴,微风 小于3级,
2013-01-24 星期四 ,4℃,-10℃,晴,东风 小于3级,
2013-01-25 星期五 ,6℃,-9℃,晴,微风 小于3级,
2013-01-26 星期六 ,6℃,-7℃,晴,微风 小于3级,
2013-01-27 星期日 ,6℃,-8℃,晴,微风 小于3级,
2013-01-28 星期一 ,5℃,-8℃,多云转晴,微风 小于3级,
2013-01-29 星期二 ,7℃,-7℃,晴,微风 小于3级,
2013-01-30 星期三 ,9℃,-6℃,晴,东风 小于3级,
2013-01-31 星期四 ,6℃,-5℃,晴转多云,东风 小于3级,
2013-02-01 星期五 ,6℃,-5℃,晴,微风 小于3级,
2013-02-02 星期六 ,11℃,-5℃,晴,微风 小于3级,
2013-02-03 星期日 ,11℃,-3℃,多云转晴,微风 小于3级,
2013-02-04 星期一 ,10℃,-3℃,晴转多云,微风 小于3级,
2013-02-05 星期二 ,13℃,-4℃,晴,微风 小于3级,
2013-02-06 星期三 ,10℃,-3℃,晴转多云,微风 小于3级,
2013-02-07 星期四 ,4℃,-3℃,阴转小雪,北风 3-4级,
2013-02-08 星期五 ,5℃,-4℃,小雪转多云,北风 3-4级,
2013-02-09 星期六 ,12℃,-6℃,晴,微风 小于3级,
2013-02-10 星期日 ,7℃,-5℃,晴转多云,微风 小于3级,
2013-02-11 星期一 ,3℃,-5℃,多云,微风 小于3级,
2013-02-12 星期二 ,6℃,-7℃,多云转晴,微风 小于3级,
2013-02-13 星期三 ,7℃,-5℃,晴,微风 小于3级,
2013-02-14 星期四 ,4℃,-3℃,多云,微风 小于3级,
2013-02-15 星期五 ,11℃,-6℃,晴,微风 小于3级,
2013-02-16 星期六 ,8℃,-4℃,晴转多云,微风 小于3级,
2013-02-17 星期日 ,4℃,-4℃,多云转小雪,微风 小于3级,
2013-02-18 星期一 ,1℃,-7℃,小雪转多云,微风 小于3级,
2013-02-19 星期二 ,3℃,-9℃,晴,微风 小于3级,
2013-02-20 星期三 ,5℃,-7℃,晴,微风 小于3级,
2013-02-21 星期四 ,7℃,-4℃,多云转晴,微风 小于3级,
2013-02-22 星期五 ,11℃,-5℃,晴,微风 小于3级,
2013-02-23 星期六 ,13℃,-2℃,晴,微风 小于3级,
2013-02-24 星期日 ,15℃,-1℃,晴,微风 小于3级,
2013-02-25 星期一 ,13℃,0℃,多云,微风 小于3级,
2013-02-26 星期二 ,15℃,0℃,晴,微风 小于3级,
2013-02-27 星期三 ,17℃,1℃,晴,微风 小于3级,
2013-02-28 星期四 ,13℃,3℃,多云,北风 3-4级,
2013-03-01 星期五 ,11℃,0℃,多云转晴,微风 小于3级,
2013-03-02 星期六 ,14℃,0℃,多云转晴,微风 小于3级,
2013-03-03 星期日 ,16℃,0℃,晴,微风 小于3级,
2013-03-04 星期一 ,19℃,0℃,晴,微风 小于3级,
2013-03-05 星期二 ,22℃,1℃,晴转多云,微风 小于3级,
2013-03-06 星期三 ,18℃,4℃,多云,微风 小于3级,
2013-03-07 星期四 ,24℃,2℃,晴,微风 小于3级,
2013-03-08 星期五 ,26℃,4℃,晴,微风 小于3级,
2013-03-09 星期六 ,18℃,4℃,多云转浮尘,微风~北风 小于3级~3-4级,
2013-03-10 星期日 ,19℃,5℃,扬沙转多云,微风 小于3级,
2013-03-11 星期一 ,17℃,5℃,扬沙,微风 小于3级,
2013-03-12 星期二 ,17℃,5℃,扬沙转多云,微风 小于3级,
2013-03-13 星期三 ,18℃,5℃,扬沙转多云,微风 小于3级,
2013-03-14 星期四 ,18℃,5℃,扬沙转晴,微风 小于3级,
2013-03-15 星期五 ,21℃,5℃,扬沙转多云,微风 小于3级,
2013-03-16 星期六 ,17℃,9℃,多云转阴,微风 小于3级,
2013-03-17 星期日 ,18℃,7℃,多云转晴,微风 小于3级,
2013-03-18 星期一 ,20℃,5℃,晴,微风 小于3级,
2013-03-19 星期二 ,20℃,5℃,晴,微风 小于3级,
2013-03-20 星期三 ,20℃,3℃,晴,微风 小于3级,
2013-03-21 星期四 ,22℃,8℃,多云,微风 小于3级,
2013-03-22 星期五 ,17℃,9℃,多云转晴,微风 小于3级,
2013-03-23 星期六 ,21℃,6℃,多云转晴,微风 小于3级,
2013-03-24 星期日 ,21℃,4℃,晴,微风 小于3级,
2013-03-25 星期一 ,17℃,8℃,多云,东风~北风 小于3级~3-4级,
2013-03-26 星期二 ,20℃,3℃,扬沙转晴,微风 小于3级,
2013-03-27 星期三 ,22℃,5℃,晴转多云,微风 小于3级,
2013-03-28 星期四 ,22℃,8℃,多云转晴,微风 小于3级,
2013-03-29 星期五 ,22℃,7℃,晴,微风 小于3级,
2013-03-30 星期六 ,22℃,7℃,晴,微风 小于3级,
2013-03-31 星期日 ,23℃,7℃,晴,微风 小于3级,
2013-04-01 星期一 ,20℃,8℃,多云,微风 小于3级,
2013-04-02 星期二 ,22℃,11℃,多云转晴,微风 小于3级,
2013-04-03 星期三 ,25℃,7℃,晴转多云,微风 小于3级,
2013-04-04 星期四 ,20℃,6℃,晴转扬沙,微风~北风 小于3级~4-5级,
2013-04-05 星期五 ,13℃,2℃,扬沙转多云,北风 3-4级,
2013-04-06 星期六 ,19℃,-1℃,晴,微风 小于3级,
2013-04-07 星期日 ,19℃,5℃,晴转多云,微风 小于3级,
2013-04-08 星期一 ,15℃,3℃,多云,北风~微风 3-4级~小于3级,
2013-04-09 星期二 ,16℃,2℃,晴,微风 小于3级,
2013-04-10 星期三 ,19℃,3℃,晴,微风 小于3级,
2013-04-11 星期四 ,21℃,4℃,晴,微风 小于3级,
2013-04-12 星期五 ,22℃,4℃,晴,微风 小于3级,
2013-04-13 星期六 ,24℃,7℃,多云转晴,微风 小于3级,
2013-04-14 星期日 ,26℃,7℃,晴,微风 小于3级,
2013-04-15 星期一 ,27℃,9℃,晴,微风 小于3级,
2013-04-16 星期二 ,27℃,8℃,晴,微风 小于3级,
2013-04-17 星期三 ,29℃,8℃,晴,微风 小于3级,
2013-04-18 星期四 ,25℃,12℃,多云转阴,微风~北风 小于3级~3-4级,
2013-04-19 星期五 ,22℃,8℃,小雨转多云,微风 小于3级,
2013-04-20 星期六 ,26℃,8℃,多云,微风 小于3级,
2013-04-21 星期日 ,24℃,9℃,多云,微风 小于3级,
2013-04-22 星期一 ,22℃,11℃,小雨转多云,微风 小于3级,
2013-04-23 星期二 ,22℃,11℃,多云,微风 小于3级,
2013-04-24 星期三 ,23℃,11℃,多云转晴,微风 小于3级,
2013-04-25 星期四 ,27℃,10℃,晴,微风 小于3级,
2013-04-26 星期五 ,30℃,10℃,晴,微风 小于3级,
2013-04-27 星期六 ,31℃,13℃,晴,微风 小于3级,
2013-04-28 星期日 ,27℃,16℃,晴转多云,微风~北风 小于3级~3-4级,
2013-04-29 星期一 ,19℃,11℃,小雨转多云,微风 小于3级,
2013-04-30 星期二 ,25℃,9℃,阴,微风 小于3级,
2013-05-01 星期三 ,25℃,11℃,多云,微风 小于3级,
2013-05-02 星期四 ,27℃,11℃,多云转晴,微风 小于3级,
2013-05-03 星期五 ,28℃,11℃,晴转多云,微风 小于3级,
2013-05-04 星期六 ,23℃,13℃,多云转阵雨,微风 小于3级,
2013-05-05 星期日 ,22℃,11℃,小雨,微风 小于3级,
2013-05-06 星期一 ,23℃,13℃,多云,微风 小于3级,
2013-05-07 星期二 ,23℃,11℃,多云转阵雨,微风 小于3级,
2013-05-08 星期三 ,19℃,9℃,小雨,微风 小于3级,
2013-05-09 星期四 ,21℃,7℃,多云转晴,微风 小于3级,
2013-05-10 星期五 ,25℃,8℃,晴,微风 小于3级,
2013-05-11 星期六 ,27℃,9℃,晴,微风 小于3级,
2013-05-12 星期日 ,30℃,10℃,晴,微风 小于3级,
2013-05-13 星期一 ,28℃,12℃,晴转多云,微风 小于3级,
2013-05-14 星期二 ,24℃,15℃,多云转阵雨,微风 小于3级,
2013-05-15 星期三 ,17℃,10℃,小雨,微风 小于3级,
2013-05-16 星期四 ,18℃,11℃,小雨转阵雨,微风 小于3级,
2013-05-17 星期五 ,21℃,8℃,阵雨,微风 小于3级,
2013-05-18 星期六 ,26℃,10℃,多云,微风 小于3级,
2013-05-19 星期日 ,25℃,10℃,多云转晴,微风 小于3级,
2013-05-20 星期一 ,31℃,12℃,晴,微风 小于3级,
2013-05-21 星期二 ,32℃,14℃,晴,微风 小于3级,
2013-05-22 星期三 ,31℃,16℃,晴,微风 小于3级,
2013-05-23 星期四 ,28℃,15℃,晴转阵雨,微风 小于3级,
2013-05-24 星期五 ,24℃,13℃,阵雨转小雨,微风 小于3级,
2013-05-25 星期六 ,28℃,14℃,多云转晴,微风 小于3级,
2013-05-26 星期日 ,32℃,15℃,晴,微风 小于3级,
2013-05-27 星期一 ,28℃,16℃,晴转多云,微风 小于3级,
2013-05-28 星期二 ,24℃,10℃,阵雨转小雨,微风 小于3级,
2013-05-29 星期三 ,23℃,10℃,多云,微风 小于3级,
2013-05-30 星期四 ,24℃,12℃,多云,微风 小于3级,
2013-05-31 星期五 ,27℃,13℃,多云转晴,微风 小于3级,
2013-06-01 星期六 ,30℃,14℃,晴,微风 小于3级,
2013-06-02 星期日 ,32℃,15℃,晴,微风 小于3级,
2013-06-03 星期一 ,33℃,16℃,晴,微风 小于3级,
2013-06-04 星期二 ,35℃,17℃,晴,微风 小于3级,
2013-06-05 星期三 ,33℃,18℃,晴转多云,微风 小于3级,
2013-06-06 星期四 ,33℃,18℃,晴,微风 小于3级,
2013-06-07 星期五 ,33℃,20℃,晴转多云,微风 小于3级,
2013-06-08 星期六 ,28℃,14℃,中雨,微风 小于3级,
2013-06-09 星期日 ,21℃,11℃,多云转阵雨,微风 小于3级,
2013-06-10 星期一 ,24℃,10℃,阵雨转多云,微风 小于3级,
2013-06-11 星期二 ,28℃,9℃,晴,微风 小于3级,
2013-06-12 星期三 ,30℃,12℃,晴,微风 小于3级,
2013-06-13 星期四 ,29℃,15℃,晴,微风 小于3级,
2013-06-14 星期五 ,31℃,17℃,多云,微风 小于3级,
2013-06-15 星期六 ,31℃,18℃,多云,微风 小于3级,
2013-06-16 星期日 ,24℃,14℃,小雨,微风 小于3级,
2013-06-17 星期一 ,26℃,18℃,多云,微风 小于3级,
2013-06-18 星期二 ,25℃,19℃,小雨,微风 小于3级,
2013-06-19 星期三 ,25℃,18℃,小雨,微风 小于3级,
2013-06-20 星期四 ,19℃,15℃,中雨,微风 小于3级,
2013-06-21 星期五 ,19℃,15℃,小雨,微风 小于3级,
2013-06-22 星期六 ,22℃,16℃,阵雨,微风 小于3级,
2013-06-23 星期日 ,29℃,16℃,多云,微风 小于3级,
2013-06-24 星期一 ,29℃,17℃,多云转阵雨,微风 小于3级,
2013-06-25 星期二 ,31℃,17℃,多云,微风 小于3级,
2013-06-26 星期三 ,30℃,17℃,晴,微风 小于3级,
2013-06-27 星期四 ,32℃,17℃,晴,微风 小于3级,
2013-06-28 星期五 ,34℃,18℃,晴,微风 小于3级,
2013-06-29 星期六 ,34℃,19℃,阵雨,微风 小于3级,
2013-06-30 星期日 ,34℃,20℃,阵雨,微风 小于3级,
2013-07-01 星期一 ,33℃,21℃,多云转阵雨,微风 小于3级,
2013-07-02 星期二 ,34℃,21℃,多云转阵雨,微风 小于3级,
2013-07-03 星期三 ,32℃,22℃,多云转阵雨,微风 小于3级,
2013-07-04 星期四 ,30℃,20℃,中雨转多云,微风 小于3级,
2013-07-05 星期五 ,32℃,18℃,多云转晴,微风 小于3级,
2013-07-06 星期六 ,35℃,20℃,晴,微风 小于3级,
2013-07-07 星期日 ,33℃,21℃,晴转雷阵雨,微风 小于3级,
2013-07-08 星期一 ,26℃,16℃,中雨转小雨,微风 小于3级,
2013-07-09 星期二 ,21℃,15℃,小雨,微风 小于3级,
2013-07-10 星期三 ,24℃,14℃,小雨转多云,微风 小于3级,
2013-07-11 星期四 ,25℃,17℃,多云转阵雨,微风 小于3级,
2013-07-12 星期五 ,24℃,17℃,小雨转多云,微风 小于3级,
2013-07-13 星期六 ,20℃,17℃,小雨,微风 小于3级,
2013-07-14 星期日 ,24℃,17℃,多云转中雨,微风 小于3级,
2013-07-15 星期一 ,26℃,17℃,中雨转多云,微风 小于3级,
2013-07-16 星期二 ,31℃,17℃,多云,微风 小于3级,
2013-07-17 星期三 ,27℃,19℃,小雨,微风 小于3级,
2013-07-18 星期四 ,28℃,18℃,小雨转多云,微风 小于3级,
2013-07-19 星期五 ,28℃,16℃,多云转阵雨,微风 小于3级,
2013-07-20 星期六 ,31℃,16℃,晴,微风 小于3级,
2013-07-21 星期日 ,31℃,19℃,多云,微风 小于3级,
2013-07-22 星期一 ,32℃,18℃,阴转晴,微风 小于3级,
2013-07-23 星期二 ,34℃,18℃,晴,微风 小于3级,
2013-07-24 星期三 ,31℃,20℃,多云转阵雨,微风 小于3级,
2013-07-25 星期四 ,24℃,16℃,中雨,微风 小于3级,
2013-07-26 星期五 ,24℃,18℃,小雨,微风 小于3级,
2013-07-27 星期六 ,24℃,16℃,小雨转多云,微风 小于3级,
2013-07-28 星期日 ,22℃,17℃,小雨转多云,微风 小于3级,
2013-07-29 星期一 ,30℃,14℃,多云转晴,微风 小于3级,
2013-07-30 星期二 ,31℃,17℃,晴转雷阵雨,微风 小于3级,
2013-07-31 星期三 ,28℃,17℃,多云转雷阵雨,微风 小于3级,
2013-08-01 星期四 ,31℃,16℃,晴转雷阵雨,微风 小于3级,
2013-08-02 星期五 ,31℃,17℃,晴,微风 小于3级,
2013-08-03 星期六 ,32℃,17℃,阵雨转晴,微风 小于3级,
2013-08-04 星期日 ,34℃,17℃,晴,微风 小于3级,
2013-08-05 星期一 ,34℃,19℃,晴转多云,微风 小于3级,
2013-08-06 星期二 ,30℃,19℃,中雨,微风 小于3级,
2013-08-07 星期三 ,27℃,16℃,中雨转多云,北风~微风 3-4级~小于3级,
2013-08-08 星期四 ,32℃,15℃,晴,微风 小于3级,
2013-08-09 星期五 ,34℃,16℃,晴,微风 小于3级,
2013-08-10 星期六 ,31℃,18℃,晴转阵雨,微风 小于3级,
2013-08-11 星期日 ,30℃,18℃,阵雨,微风 小于3级,
2013-08-12 星期一 ,34℃,17℃,晴,微风 小于3级,
2013-08-13 星期二 ,34℃,17℃,晴,微风 小于3级,
2013-08-14 星期三 ,34℃,19℃,晴,东风 小于3级,
2013-08-15 星期四 ,32℃,19℃,晴转多云,微风 小于3级,
2013-08-16 星期五 ,29℃,21℃,多云,微风 小于3级,
2013-08-17 星期六 ,30℃,20℃,多云,微风 小于3级,
2013-08-18 星期日 ,32℃,20℃,多云转晴,微风 小于3级,
2013-08-19 星期一 ,32℃,19℃,晴转多云,微风 小于3级,
2013-08-20 星期二 ,29℃,20℃,阵雨,微风 小于3级,
2013-08-21 星期三 ,31℃,20℃,多云,微风 小于3级,
2013-08-22 星期四 ,30℃,20℃,晴转阴,微风 小于3级,
2013-08-23 星期五 ,29℃,19℃,阵雨,微风 小于3级,
2013-08-24 星期六 ,29℃,19℃,阵雨转多云,微风 小于3级,
2013-08-25 星期日 ,30℃,18℃,多云,微风 小于3级,
2013-08-26 星期一 ,33℃,20℃,晴,微风 小于3级,
2013-08-27 星期二 ,28℃,19℃,多云转中雨,微风 小于3级,
2013-08-28 星期三 ,25℃,16℃,中雨转多云,微风 小于3级,
2013-08-29 星期四 ,28℃,14℃,晴,微风 小于3级,
2013-08-30 星期五 ,28℃,14℃,阵雨,微风 小于3级,
2013-08-31 星期六 ,29℃,15℃,晴转多云,微风 小于3级,
2013-09-01 星期日 ,26℃,17℃,多云转阵雨,微风 小于3级,
2013-09-02 星期一 ,25℃,15℃,小雨转多云,微风 小于3级,
2013-09-03 星期二 ,24℃,15℃,多云转阵雨,微风 小于3级,
2013-09-04 星期三 ,18℃,13℃,小雨,微风 小于3级,
2013-09-05 星期四 ,23℃,12℃,阵雨转多云,微风 小于3级,
2013-09-06 星期五 ,24℃,13℃,多云转阵雨,微风 小于3级,
2013-09-07 星期六 ,23℃,13℃,多云转小雨,微风 小于3级,
2013-09-08 星期日 ,25℃,13℃,小雨转多云,微风 小于3级,
2013-09-09 星期一 ,26℃,12℃,晴转阵雨,微风 小于3级,
2013-09-10 星期二 ,24℃,12℃,阵雨,微风 小于3级,
2013-09-11 星期三 ,26℃,11℃,晴,微风 小于3级,
2013-09-12 星期四 ,28℃,11℃,晴,微风 小于3级,
2013-09-13 星期五 ,30℃,12℃,晴,微风 小于3级,
2013-09-14 星期六 ,28℃,12℃,晴,微风 小于3级,
2013-09-15 星期日 ,24℃,15℃,小雨,微风 小于3级,
2013-09-16 星期一 ,25℃,16℃,小雨,微风 小于3级,
2013-09-17 星期二 ,26℃,15℃,小雨,微风 小于3级,
2013-09-18 星期三 ,24℃,15℃,小雨,微风 小于3级,
2013-09-19 星期四 ,23℃,13℃,小雨转多云,微风 小于3级,
2013-09-20 星期五 ,24℃,14℃,多云转阵雨,微风 小于3级,
2013-09-21 星期六 ,27℃,11℃,晴,微风 小于3级,
2013-09-22 星期日 ,21℃,12℃,多云转小雨,微风 小于3级,
2013-09-23 星期一 ,19℃,9℃,小雨转多云,北风 3-4级,
2013-09-24 星期二 ,20℃,9℃,多云,微风 小于3级,
2013-09-25 星期三 ,21℃,12℃,多云,微风 小于3级,
2013-09-26 星期四 ,22℃,10℃,多云转晴,微风 小于3级,
2013-09-27 星期五 ,25℃,12℃,晴,微风 小于3级,
2013-09-28 星期六 ,27℃,11℃,晴,微风 小于3级,
2013-09-29 星期日 ,27℃,11℃,晴转多云,微风 小于3级,
2013-09-30 星期一 ,20℃,13℃,小雨,微风 小于3级,
2013-10-01 星期二 ,24℃,9℃,晴,微风 小于3级,
2013-10-02 星期三 ,25℃,11℃,晴,微风 小于3级,
2013-10-03 星期四 ,24℃,10℃,晴,微风 小于3级,
2013-10-04 星期五 ,26℃,9℃,晴转多云,微风 小于3级,
2013-10-05 星期六 ,26℃,11℃,多云,微风 小于3级,
2013-10-06 星期日 ,26℃,10℃,晴,微风 小于3级,
2013-10-07 星期一 ,25℃,10℃,晴转多云,微风 小于3级,
2013-10-08 星期二 ,28℃,8℃,晴,微风 小于3级,
2013-10-09 星期三 ,26℃,9℃,晴,微风 小于3级,
2013-10-10 星期四 ,26℃,7℃,晴,微风 小于3级,
2013-10-11 星期五 ,27℃,10℃,晴,微风 小于3级,
2013-10-12 星期六 ,22℃,11℃,晴转多云,微风 小于3级,
2013-10-13 星期日 ,22℃,10℃,多云,微风 小于3级,
2013-10-14 星期一 ,22℃,10℃,多云,微风 小于3级,
2013-10-15 星期二 ,18℃,7℃,多云,微风 小于3级,
2013-10-16 星期三 ,18℃,7℃,多云转晴,微风 小于3级,
2013-10-17 星期四 ,21℃,6℃,晴,微风 小于3级,
2013-10-18 星期五 ,17℃,10℃,多云,微风 小于3级,
2013-10-19 星期六 ,18℃,7℃,多云,微风 小于3级,
2013-10-20 星期日 ,15℃,8℃,小雨转多云,微风 小于3级,
2013-10-21 星期一 ,18℃,3℃,多云,微风 小于3级,
2013-10-22 星期二 ,17℃,3℃,晴,微风 小于3级,
2013-10-23 星期三 ,19℃,2℃,晴,微风 小于3级,
2013-10-24 星期四 ,19℃,2℃,晴,微风 小于3级,
2013-10-25 星期五 ,16℃,5℃,多云,微风 小于3级,
2013-10-26 星期六 ,18℃,4℃,多云,微风 小于3级,
2013-10-27 星期日 ,17℃,5℃,晴,微风 小于3级,
2013-10-28 星期一 ,17℃,4℃,多云,微风 小于3级,
2013-10-29 星期二 ,15℃,7℃,多云转小雨,微风 小于3级,
2013-10-30 星期三 ,11℃,5℃,小雨,微风 小于3级,
2013-10-31 星期四 ,11℃,6℃,小雨,微风 小于3级,
2013-11-01 星期五 ,14℃,0℃,多云转晴,微风 小于3级,
2013-11-02 星期六 ,14℃,3℃,晴,微风 小于3级,
2013-11-03 星期日 ,13℃,3℃,多云,微风 小于3级,
2013-11-04 星期一 ,12℃,4℃,小雨,微风 小于3级,
2013-11-05 星期二 ,14℃,1℃,多云转晴,微风 小于3级,
2013-11-06 星期三 ,13℃,1℃,晴,微风 小于3级,
2013-11-07 星期四 ,13℃,1℃,晴,微风 小于3级,
2013-11-08 星期五 ,12℃,2℃,晴转多云,微风 小于3级,
2013-11-09 星期六 ,9℃,3℃,小雨,微风 小于3级,
2013-11-10 星期日 ,10℃,2℃,多云,微风 小于3级,
2013-11-11 星期一 ,10℃,0℃,多云,微风 小于3级,
2013-11-12 星期二 ,8℃,3℃,多云转小雨,微风 小于3级,
2013-11-13 星期三 ,7℃,2℃,雨夹雪转多云,微风 小于3级,
2013-11-14 星期四 ,10℃,-1℃,多云转晴,微风 小于3级,
2013-11-15 星期五 ,10℃,0℃,晴,微风 小于3级,
2013-11-16 星期六 ,11℃,-2℃,晴,微风 小于3级,
2013-11-17 星期日 ,11℃,-1℃,晴,微风 小于3级,
2013-11-18 星期一 ,12℃,-2℃,晴,微风 小于3级,
2013-11-19 星期二 ,12℃,-2℃,晴,微风 小于3级,
2013-11-20 星期三 ,12℃,-3℃,晴,微风 小于3级,
2013-11-21 星期四 ,11℃,-3℃,晴,微风 小于3级,
2013-11-22 星期五 ,7℃,-1℃,多云转雨夹雪,微风 小于3级,
2013-11-23 星期六 ,3℃,-4℃,小雪,北风 3-4级,
2013-11-24 星期日 ,6℃,-7℃,小雪转晴,微风 小于3级,
2013-11-25 星期一 ,6℃,-6℃,晴,微风 小于3级,
2013-11-26 星期二 ,6℃,-4℃,多云,微风 小于3级,
2013-11-27 星期三 ,5℃,-6℃,晴,微风 小于3级,
2013-11-28 星期四 ,6℃,-5℃,晴,微风 小于3级,
2013-11-29 星期五 ,8℃,-5℃,晴,微风 小于3级,
2013-11-30 星期六 ,9℃,-4℃,多云转晴,微风 小于3级,
2013-12-01 星期日 ,9℃,-5℃,晴,微风 小于3级,
2013-12-02 星期一 ,9℃,-4℃,晴,微风 小于3级,
2013-12-03 星期二 ,10℃,-5℃,晴,微风 小于3级,
2013-12-04 星期三 ,8℃,-4℃,多云,微风 小于3级,
2013-12-05 星期四 ,9℃,-5℃,晴,微风 小于3级,
2013-12-06 星期五 ,10℃,-4℃,晴,微风 小于3级,
2013-12-07 星期六 ,8℃,-5℃,晴,微风 小于3级,
2013-12-08 星期日 ,3℃,-5℃,多云,微风 小于3级,
2013-12-09 星期一 ,6℃,-8℃,多云转晴,微风 小于3级,
2013-12-10 星期二 ,4℃,-6℃,多云,微风 小于3级,
2013-12-11 星期三 ,5℃,-8℃,晴,微风 小于3级,
2013-12-12 星期四 ,7℃,-7℃,晴,微风 小于3级,
2013-12-13 星期五 ,6℃,-6℃,晴,微风 小于3级,
2013-12-14 星期六 ,3℃,-6℃,多云转小雪,微风 小于3级,
2013-12-15 星期日 ,4℃,-7℃,多云转晴,微风 小于3级,
2013-12-16 星期一 ,5℃,-9℃,晴,微风 小于3级,
2013-12-17 星期二 ,4℃,-8℃,晴,微风 小于3级,
2013-12-18 星期三 ,3℃,-9℃,晴,微风 小于3级,
2013-12-19 星期四 ,1℃,-8℃,晴转多云,微风 小于3级,
2013-12-20 星期五 ,-2℃,-7℃,小雪,微风 小于3级,
2013-12-21 星期六 ,0℃,-9℃,多云,微风 小于3级,
2013-12-22 星期日 ,2℃,-10℃,晴,微风 小于3级,
2013-12-23 星期一 ,1℃,-9℃,晴转多云,微风 小于3级,
2013-12-24 星期二 ,-1℃,-6℃,小雪转多云,微风 小于3级,
2013-12-25 星期三 ,0℃,-8℃,多云,微风 小于3级,
2013-12-26 星期四 ,-2℃,-9℃,多云,微风 小于3级,
2013-12-27 星期五 ,-1℃,-10℃,多云转晴,微风 小于3级,
2013-12-28 星期六 ,-1℃,-11℃,晴,微风 小于3级,
2013-12-29 星期日 ,1℃,-10℃,晴,微风 小于3级,
2013-12-30 星期一 ,2℃,-10℃,晴,微风 小于3级,
2013-12-31 星期二 ,3℃,-10℃,晴,微风 小于3级,
2014-01-01 星期三 ,3℃,-10℃,晴转多云,微风 小于3级,
2014-01-02 星期四 ,1℃,-7℃,多云,微风 小于3级,
2014-01-03 星期五 ,4℃,-9℃,晴,微风 小于3级,
2014-01-04 星期六 ,4℃,-10℃,晴,微风 小于3级,
2014-01-05 星期日 ,3℃,-9℃,晴转多云,微风 小于3级,
2014-01-06 星期一 ,1℃,-6℃,多云转阴,微风 小于3级,
2014-01-07 星期二 ,-3℃,-9℃,小雪,北风 3-4级,
2014-01-08 星期三 ,-2℃,-12℃,多云转晴,北风 3-4级,
2014-01-09 星期四 ,2℃,-12℃,晴,微风 小于3级,
2014-01-10 星期五 ,0℃,-9℃,晴转多云,微风 小于3级,
2014-01-11 星期六 ,0℃,-8℃,多云,微风 小于3级,
2014-01-12 星期日 ,1℃,-11℃,多云转晴,微风 小于3级,
2014-01-13 星期一 ,4℃,-11℃,晴,微风 小于3级,
2014-01-14 星期二 ,4℃,-10℃,晴,微风 小于3级,
2014-01-15 星期三 ,3℃,-8℃,多云,微风 小于3级,
2014-01-16 星期四 ,6℃,-10℃,晴,微风 小于3级,
2014-01-17 星期五 ,7℃,-8℃,晴,微风 小于3级,
2014-01-18 星期六 ,5℃,-8℃,晴转多云,微风 小于3级,
2014-01-19 星期日 ,4℃,-7℃,多云转晴,微风 小于3级,
2014-01-20 星期一 ,7℃,-9℃,晴,微风 小于3级,
2014-01-21 星期二 ,7℃,-9℃,晴,微风 小于3级,
